client_id_externe,imf_code,anciennete_jours,revenu_mensuel_estime,taux_remboursement_historique,nb_collectes_total,montant_total_collectes,nb_prets_total,nb_collectes_12m,regularite_collecte_pct,montant_moy_collecte,ecart_type_collecte,montant_total_collectes_12m,nb_cycles_manques_12m,tendance_collecte_3m,jours_retard_max,jours_retard_moyen,nb_incidents_paiement,montant_impaye_total,montant_rembourse_total,taux_remboursement_pct,classe_risque_cobac_encode,label_defaut_90j,nb_prets,anciennete_client_jours,nb_produits_actifs,indice_resilience,ratio_collecte_credit,capacite_remboursement,inflation_mensuelle_moy,taux_directeur_beac,precipitation_moy_mm,indice_secheresse,nb_evenements_negatifs,prix_produit_principal_moy,volatilite_prix_produit,tendance_prix_30j,prix_lag_30j,prix_lag_90j,est_producteur,nb_remboursements_12m,montant_impaye_courant
CLT001,FINTECH,105.0,185000.0,1.0,16,550800.0,1,16,30.76923076923077,34425.0,13790.9487225,550800.0,36,-42.268907563025216,0.0,0.0,0.0,600000.0,930000.0,62.0,0.0,0.0,1.0,105.0,1,0.2,1.1016,3.7000000000000006,3.2,5.0,75.0,0.0,0,749.448142616835,161.33167305074244,76.04600160939262,783.7739419636869,644.0972846753745,1,10,600000.0
CLT002,FINTECH,105.0,220000.0,1.0,16,570544.0,1,16,30.76923076923077,35659.0,13790.9487225,570544.0,36,-42.268907563025216,0.0,0.0,0.0,1000000.0,1550000.0,62.0,0.0,0.0,1.0,105.0,1,0.2,1.141088,4.4,3.2,5.0,75.0,0.0,0,1440.8571676918993,55.941280788504756,50.76726703694489,1519.0295323728417,1499.8215433370647,1,10,1000000.0
CLT003,FINTECH,105.0,120000.0,,16,590288.0,0,16,30.76923076923077,36893.0,13790.9487225,590288.0,36,-42.268907563025216,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,105.0,1,0.2,1.180576,2.4000000000000004,3.2,5.0,75.0,0.0,0,1178.3927301736862,112.5621989144501,72.13486240334458,1078.0041930186565,1112.7642614837214,1,0,0.0
CLT004,FINTECH,105.0,310000.0,1.0,16,696568.0,1,16,30.76923076923077,43535.5,9954.032683624597,696568.0,36,1.302521008403356,0.0,0.0,0.0,656000.0,160000.0,20.0,0.0,0.0,1.0,105.0,1,0.2,1.393136,5.0,3.2,5.0,75.0,0.0,0,1018.3901810364439,126.63462239516764,66.32755555559434,989.5627585703121,1021.0086733544927,0,10,656000.0
CLT005,FINTECH,105.0,155000.0,,16,734024.0,0,16,30.76923076923077,45876.5,9954.032683624597,734024.0,36,1.302521008403356,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,105.0,1,0.2,1.468048,3.1000000000000005,3.2,5.0,75.0,0.0,0,487.22236853092386,28.361074289599593,27.72699724544107,449.79093120208836,546.7950193589443,1,0,0.0
CLT006,FINTECH,105.0,280000.0,1.0,16,596480.0,1,16,30.76923076923077,37280.0,9564.008922343532,596480.0,36,-35.46218487394958,0.0,0.0,0.0,1200000.0,1860000.0,62.0,0.0,0.0,1.0,105.0,1,0.2,1.19296,5.0,3.2,5.0,75.0,0.0,0,487.19342440344315,129.3580733422589,69.84365055300519,522.5737446964337,450.55047118178913,1,10,1200000.0
CLT007,FINTECH,105.0,145000.0,,16,621952.0,0,16,30.76923076923077,38872.0,16400.19512079,621952.0,36,71.09243697478993,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,105.0,1,0.2,1.243904,2.9000000000000004,3.2,5.0,75.0,0.0,0,369.70033460183936,50.69434226371247,-38.49597473325046,378.817006350625,359.7608955999094,0,0,0.0
CLT008,FINTECH,105.0,195000.0,0.55,16,566544.0,1,16,30.76923076923077,35409.0,16112.61617491,566544.0,36,-44.45378151260504,45.0,45.0,1.0,450000.0,570000.0,57.0,1.0,0.0,1.0,105.0,1,0.2,1.133088,3.9000000000000004,3.2,5.0,75.0,0.0,0,1339.4113749299222,31.70928673735031,-24.522227885511125,1294.1119531228267,1442.0978054821778,0,10,450000.0
CLT009,FINTECH,105.0,130000.0,,16,621136.0,0,16,30.76923076923077,38821.0,16112.61617491,621136.0,36,-44.45378151260504,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,105.0,1,0.2,1.242272,2.6000000000000005,3.2,5.0,75.0,0.0,0,1021.3380140918506,190.79939670559997,-44.12045244163005,932.1871245346819,938.2413911693947,1,0,0.0
CLT010,FINTECH,105.0,240000.0,,16,565728.0,0,16,30.76923076923077,35358.0,16170.54111649,565728.0,36,-21.344537815126053,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,105.0,1,0.2,1.131456,4.800000000000001,3.2,5.0,75.0,0.0,0,1149.6870933552545,193.81376595342067,-7.7070570007756345,1106.2248563273588,1003.7848719853107,1,0,0.0
CLT011,FINTECH,188.0,210000.0,1.0,7,327670.0,1,7,13.461538461538462,46810.0,1855.927441110419,327670.0,45,31.952988972722,0.0,0.0,0.0,1476000.0,360000.0,20.0,0.0,0.0,1.0,188.0,1,0.2,0.65534,4.2,3.2,5.0,75.0,0.0,0,324.70139315496294,165.511522660963,0.5280476596326622,313.3487493780354,304.220994310651,1,10,1476000.0
CLT012,FINTECH,182.0,320000.0,1.0,8,196804.0,1,8,15.384615384615385,24600.5,20024.25654051,196804.0,44,-244.25249944888932,0.0,0.0,0.0,3280000.0,800000.0,20.0,0.0,0.0,1.0,182.0,1,0.2,0.393608,5.0,3.2,5.0,75.0,0.0,0,1463.8918225943933,74.83047845120672,-14.724625869393535,1531.1155439716417,1315.1112064170177,1,10,3280000.0
CLT013,FINTECH,185.0,165000.0,,8,105328.0,0,8,15.384615384615385,13166.0,2254.329168511112,105328.0,44,33.45726490669633,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,185.0,1,0.2,0.210656,3.3000000000000003,3.2,5.0,75.0,0.0,0,1298.931168960506,37.5809805211491,57.73587618975081,1334.6667063738416,1466.375471117583,1,0,0.0
CLT014,FINTECH,188.0,380000.0,,8,139852.0,0,8,15.384615384615385,17481.5,2168.144367886973,139852.0,44,32.6343464342661,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,188.0,1,0.2,0.279704,5.0,3.2,5.0,75.0,0.0,0,554.8069328139313,143.16194477218824,-3.6220675298333944,597.7725956249798,606.0911296310109,1,0,0.0
CLT015,FINTECH,174.0,175000.0,0.0933,7,150654.0,1,7,13.461538461538462,21522.0,1855.927441110419,150654.0,45,32.06411024565608,68.0,68.0,1.0,680000.0,80000.0,10.666666666666666,2.0,0.0,1.0,174.0,1,0.2,0.301308,3.5000000000000004,3.2,5.0,75.0,0.0,0,518.1899606485208,99.22744887312824,-13.478513740640501,515.3103712811317,538.9285068494711,1,10,680000.0
CLT016,FINTECH,199.0,205000.0,,8,203510.0,0,8,15.384615384615385,25438.75,2233.094825572797,203510.0,44,32.502133858357325,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,199.0,1,0.2,0.40702,4.1000000000000005,3.2,5.0,75.0,0.0,0,520.0854118241206,41.96688227206019,20.5504908105723,480.51671517183183,578.0427820313836,1,0,0.0
CLT017,FINTECH,202.0,140000.0,0.0,8,238034.0,1,8,15.384615384615385,29754.25,2233.094825572797,238034.0,44,32.89217571709967,92.0,92.0,1.0,500000.0,2000.0,0.4,3.0,1.0,1.0,202.0,1,0.2,0.476068,2.8000000000000003,3.2,5.0,75.0,0.0,0,665.0906915514453,109.13184382002864,-31.679850753280856,693.4561161522217,725.681533040354,0,10,500000.0
CLT018,FINTECH,196.0,195000.0,,7,235697.0,0,7,13.461538461538462,33671.0,1855.927441110419,235697.0,45,32.8266006610532,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,196.0,1,0.2,0.471394,3.9000000000000004,3.2,5.0,75.0,0.0,0,929.7077179586854,26.18993380073931,54.28560749802516,978.1984924441576,842.2882473707887,1,0,0.0
CLT019,FINTECH,199.0,450000.0,,8,301692.0,0,8,15.384615384615385,37711.5,2168.144367886973,301692.0,44,33.810369132772934,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,199.0,1,0.2,0.603384,5.0,3.2,5.0,75.0,0.0,0,818.334022370539,183.67767237418076,-40.30841632162979,828.3630654838671,914.707337646155,1,0,0.0
CLT020,FINTECH,202.0,290000.0,,8,336216.0,0,8,15.384615384615385,42027.0,2254.329168511112,336216.0,44,32.83013711110099,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,202.0,1,0.2,0.672432,5.0,3.2,5.0,75.0,0.0,0,649.4749682376503,66.58039668800305,78.29530175806724,684.6722483565371,657.1405086332198,0,0,0.0
CLT021,FINTECH,,128000.0,,0,0.0,0,0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,365.0,1,0.2,0.0,2.5600000000000005,3.2,5.0,75.0,0.0,0,1034.2234736668554,139.25401118371676,50.39182000856546,1032.9401256908452,1129.6120212323915,0,0,0.0
CLT022,FINTECH,,215000.0,,0,0.0,0,0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,365.0,1,0.2,0.0,4.300000000000001,3.2,5.0,75.0,0.0,0,467.39263278245016,76.10799369609397,-24.166961400557586,469.517664177539,522.9316794304896,1,0,0.0
CLT023,FINTECH,,350000.0,,0,0.0,0,0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,365.0,1,0.2,0.0,5.0,3.2,5.0,75.0,0.0,0,650.5735782422618,113.61224381200594,-49.282124773931685,641.1455984498081,615.0529390876982,1,0,0.0
CLT024,FINTECH,,185000.0,,0,0.0,0,0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,365.0,1,0.2,0.0,3.7000000000000006,3.2,5.0,75.0,0.0,0,739.6342119524301,118.40785028179033,56.009985699128435,669.4309619127646,653.1085307011285,0,0,0.0
CLT025,FINTECH,,155000.0,,0,0.0,0,0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,365.0,1,0.2,0.0,3.1000000000000005,3.2,5.0,75.0,0.0,0,847.2839810604431,53.27380199459487,41.89145470019022,780.8385185114347,778.1291274840353,0,0,0.0
